ind	href	item_name	value	extra_services
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт одежды (швея с 25 летним стажем)	200 ₽ за услугу	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Вязальное производство в Турции принимает заказы	100 ₽ за услугу	Производство одежды|100 ₽; Вязание на заказ|100 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды оптом для магазинов и маркетплейсов	100 ₽ за услугу	Пошив одежды|от 100 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды	от 150 ₽ за услугу	Пошив одежды|от 150 ₽; Установка кнопок, заклёпок и пуговиц|от 50 ₽; Ещё 3 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ювелир Ювелирная мастерская Ремонт и изготовление	от 500 ₽ за услугу	Лазерная гравировка|от 450 ₽; Механическая гравировка|от 300 ₽; Ещё 8 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Установка Люверсов.Обтяжка пуговиц, кнопок	Цена договорная	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Перекрой И ремонт шуб	Цена договорная	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт часов	Цена договорная	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт одежды на дому	от 1 000 ₽ за услугу	Ремонт одежды|от 1 000 ₽; Замена молнии и замка|от 2 000 ₽; Ещё 5 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Промышленная прачечная	от 50 ₽ за кг	Стирка постельного белья|от 50 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт, химчистка и реставрация	от 500 ₽ за услугу	Химчистка обуви|от 500 ₽; Реставрация обуви|от 100 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Покраска ремонт реставрация кожи	от 100 ₽ за услугу	
